varId	varName	varTitle	varClass	dUnit	mUnit	aUnit	vLen
150	ws_cum_soilevap	cum soil evaporation	ws	 [mm]	 [mm]	 [mm]	4
151	ws_cum_snowsubl	cum snow sublimation	ws	 [mm]	 [mm]	 [mm]	4
152	ws_cum_surf_runoff	cum surface runoff	ws	 [mm]	 [mm]	 [mm]	4
153	ws_cum_infiltration	cum. infiltration	ws	 [mm]	 [mm]	 [mm]	4
154	ws_cum_throughfall	cum. throughfall	ws	 [mm]	 [mm]	 [mm]	4
155	ws_cum_soilice_subl	cum. soil ice sublimation	ws	 [mm]	 [mm]	 [mm]	4
160	wf_site_soil_pot_evap	site spec. pot. soil evaporation	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
161	wf_site_soil_pot_trans	site spec. pot. transpiration	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
162	wf_site_soil_evap	site spec. soil evaporation	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
163	wf_site_soil_trans	site spec. transpiration	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
164	wf_site_soil_et	site spec. soil evapotranspiration	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
165	wf_site_infiltration	site spec. infiltration	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
166	wf_site_standprcp	site spec. stand precipitation	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
167	wf_site_surf_runoff	site spec. surface runoff	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
168	wf_site_prcp_to_soil	site spec. rainfall	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
169	wf_site_prcp_to_snow	site spec. snowfall	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
170	wf_site_canopy_to_soil	site secific canopyw to soilw	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
171	wf_site_canopyrest_to_soil	site spec. canopyrestw to soilw	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
172	wf_site_snow_subl	site spec. snow sublimation	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
173	wf_site_snow_to_soil	site spec. snow melt	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
174	wf_site_soil_outflow	site spec. soil water outflow	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
175	wf_site_soilice_subl	site spec. soil ice sublimation	wf	 [mm/d]	 [mm/mon]	 [mm/a]	4
180	soil_gw_depth	depth of ground water table	m	 [m]	 [m]	 [m]	4
181	soil_surf_temp	soil surface temperature	°C	 [°C]	 [°C]	 [°C]	4
182	soil_low_bound_temp	lower boundary layer soil temperature	°C	 [°C]	 [°C]	 [°C]	4
185	epv_t_scalar	decomp. temperature scalar	dim				4
186	epv_w_scalar	decomp. water scalar	dim				4
187	epv_sd_scalar	decomp. soil depth scalar	dim				4
188	epv_rate_scalar	decomp. combined scalar	dim				4
189	epv_kfrag_st_act	decomp. actual stem defragmentation rate	-	[1/d]	[1/d]	[1/d]	4
190	epv_kfrag_r_act	decomp. actual root defragmentation rate	-	[1/d]	[1/d]	[1/d]	4
191	epv_fpi	fraction of potential immobilization	dim				4
192	nf_gross_nmin	gross N mineralization	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
193	nf_gross_nimmob	gross N immobilization	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
194	nf_net_nmin	net N mineralization	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
200	psn_sun_pa		-				4
201	psn_sun_co2		-				4
202	psn_sun_t		-				4
203	psn_sun_lnc		-				4
204	psn_sun_flnr		-				4
205	psn_sun_ppfd		-				4
206	psn_sun_g		-				4
207	psn_sun_dlmr		-				4
208	psn_sun_Ci		-				4
209	psn_sun_O2		-				4
210	psn_sun_Ca		-				4
211	psn_sun_gamma		-				4
212	psn_sun_Kc		-				4
213	psn_sun_Ko		-				4
214	psn_sun_Vmax		-				4
215	psn_sun_Jmax		-				4
216	psn_sun_J		-				4
217	psn_sun_Av		-				4
218	psn_sun_Aj		-				4
219	psn_sun_A		-				4
220	psn_shade_pa		-				4
221	psn_shade_co2		-				4
222	psn_shade_t		-				4
223	psn_shade_lnc		-				4
224	psn_shade_flnr		-				4
225	psn_shade_ppfd		-				4
226	psn_shade_g		-				4
227	psn_shade_dlmr		-				4
228	psn_shade_Ci		-				4
229	psn_shade_O2		-				4
230	psn_shade_Ca		-				4
231	psn_shade_gamma		-				4
232	psn_shade_Kc		-				4
233	psn_shade_Ko		-				4
234	psn_shade_Vmax		-				4
235	psn_shade_Jmax		-				4
236	psn_shade_J		-				4
237	psn_shade_Av		-				4
238	psn_shade_Aj		-				4
239	psn_shade_A		-				4
